"STATECODE","STATE","QUARTER","TAX_THOUSAND","INCREASING_YN"
"CT","Connecticut",87,2208000,0
"CT","Connecticut",88,3757000,1
"CT","Connecticut",89,3827000,1
"CT","Connecticut",90,6132000,1
"CT","Connecticut",91,2237000,0
"CT","Connecticut",92,3663000,1
"CT","Connecticut",93,3882000,1
"CT","Connecticut",94,6445000,1
"CT","Connecticut",95,2352000,0
"CT","Connecticut",96,3788000,1
"CT","Connecticut",97,3967000,1
"CT","Connecticut",98,6148000,1
"CT","Connecticut",99,2380000,0
"CT","Connecticut",100,3756000,1
"CT","Connecticut",101,4112000,1
"CT","Connecticut",102,5359000,1
"CT","Connecticut",103,2335000,0
"CT","Connecticut",104,4358000,1
"CT","Connecticut",105,4912000,1
"CT","Connecticut",106,5413000,1
"CT","Connecticut",107,2678000,0
"CT","Connecticut",108,4264000,1
"CT","Connecticut",109,4689000,1
"CT","Connecticut",110,7445000,1
"CT","Connecticut",111,2746000,0
"CT","Connecticut",112,4208000,1
"CT","Connecticut",113,4667000,1
"CT","Connecticut",114,6790000,1
"CT","Connecticut",115,2674000,0
"CT","Connecticut",116,4873000,1
"CT","Connecticut",117,5774000,1
"CT","Connecticut",118,11298000,1
"CT","Connecticut",119,2742000,0
"DE","Delaware",9,386000,
"DE","Delaware",10,437000,1
"DE","Delaware",11,356000,0
"DE","Delaware",12,332000,0
"DE","Delaware",13,428000,1
"DE","Delaware",14,432000,1
"DE","Delaware",15,372000,0
"DE","Delaware",16,356000,0
"DE","Delaware",17,427000,1
"DE","Delaware",18,518000,1
"DE","Delaware",19,387000,0
"DE","Delaware",20,394000,1
"DE","Delaware",21,455000,1
"DE","Delaware",22,502000,1
"DE","Delaware",23,420000,0
"DE","Delaware",24,424000,1
"DE","Delaware",25,519000,1
"DE","Delaware",26,625000,1
"DE","Delaware",27,432000,0
"DE","Delaware",28,454000,1
"DE","Delaware",29,516000,1
"DE","Delaware",30,623000,1
"DE","Delaware",31,461000,0
"DE","Delaware",32,466000,1
"DE","Delaware",33,534000,1
"DE","Delaware",34,644000,1
"DE","Delaware",35,428000,0
"DE","Delaware",36,431000,1
"DE","Delaware",37,591000,1
"DE","Delaware",38,654000,1
"DE","Delaware",39,497000,0
"DE","Delaware",40,468000,0
"DE","Delaware",41,512000,1
"DE","Delaware",42,697000,1
"DE","Delaware",43,482000,0
"DE","Delaware",44,477000,0
"DE","Delaware",45,533000,1
"DE","Delaware",46,621000,1
"DE","Delaware",47,503000,0
"DE","Delaware",48,504000,1
"DE","Delaware",49,643000,1
"DE","Delaware",50,728000,1
